イクイノックス,1285,1285,10000,名詞,固有名詞,一般,*,*,*,イクイノックス,イクイノックス,イクイノックス
ピエナローズ,1289,1289,10000,名詞,固有名詞,一般,*,*,*,ピエナローズ,ピエナローズ,ピエナローズ
ミレニアムバイオ,1289,1289,10000,名詞,固有名詞,一般,*,*,*,ミレニアムバイオ ,ミレニアムバイオ ,ミレニアムバイオ 
エムティトップ,1289,1289,10000,名詞,固有名詞,一般,*,*,*,エムティトップ,エムティトップ,エムティトップ
ハリウッドスマイル,1289,1289,10000,名詞,固有名詞,一般,*,*,*,ハリウッドスマイル,ハリウッドスマイル,ハリウッドスマイル
レリッシュ,1289,1289,10000,名詞,固有名詞,一般,*,*,*,レリッシュ,レリッシュ,レリッシュ
イエローダイヤ,1289,1289,10000,名詞,固有名詞,一般,*,*,*,イエローダイヤ,イエローダイヤ,イエローダイヤ
プティパレ,1289,1289,10000,名詞,固有名詞,一般,*,*,*,プティパレ,プティパレ,プティパレ
ヴェールジェイド,1289,1289,10000,名詞,固有名詞,一般,*,*,*,ヴェールジェイド,ヴェールジェイド,ヴェールジェイド
スナイチ,1289,1289,10000,名詞,固有名詞,一般,*,*,*,スナイチ,スナイチ,スナイチ
フロインフォッサル,1289,1289,10000,名詞,固有名詞,一般,*,*,*,フロインフォッサル,フロインフォッサル,フロインフォッサル
バハマフレイバー,1289,1289,10000,名詞,固有名詞,一般,*,*,*,バハマフレイバー,バハマフレイバー,バハマフレイバー
グレイテストヒッツ,1289,1289,10000,名詞,固有名詞,一般,*,*,*,グレイテストヒッツ,グレイテストヒッツ,グレイテストヒッツ
フィーロ,1289,1289,10000,名詞,固有名詞,一般,*,*,*,フィーロ,フィーロ,フィーロ
ダラスフォンテン,1289,1289,10000,名詞,固有名詞,一般,*,*,*,ダラスフォンテン,ダラスフォンテン,ダラスフォンテン
エイシンペペロミア,1289,1289,10000,名詞,固有名詞,一般,*,*,*,エイシンペペロミア,エイシンペペロミア,エイシンペペロミア
スネークアイズ,1289,1289,10000,名詞,固有名詞,一般,*,*,*,スネークアイズ,スネークアイズ,スネークアイズ
マイネルアラウダ,1289,1289,10000,名詞,固有名詞,一般,*,*,*,マイネルアラウダ,マイネルアラウダ,マイネルアラウダ
タライロン,1289,1289,10000,名詞,固有名詞,一般,*,*,*,タライロン,タライロン,タライロン
ゴールドボンド,1289,1289,10000,名詞,固有名詞,一般,*,*,*,ゴールドボンド,ゴールドボンド,ゴールドボンド
オーケン,1289,1289,10000,名詞,固有名詞,一般,*,*,*,オーケン,オーケン,オーケン
ハッピーイエロー,1289,1289,10000,名詞,固有名詞,一般,*,*,*,ハッピーイエロー,ハッピーイエロー,ハッピーイエロー
クロゴウ,1289,1289,10000,名詞,固有名詞,一般,*,*,*,クロゴウ,クロゴウ,クロゴウ
ブリリアントゲート,1289,1289,10000,名詞,固有名詞,一般,*,*,*,ブリリアントゲート,ブリリアントゲート,ブリリアントゲート
